Compound,struct_file_path,d_valence,Tmit
BaVS3,../data/Structures/MIT_materials/HighT/BaVS3_HT_CollCode_8193.cif,1,82
Ca1.2La2.8Mn4O12,../data/Structures/MIT_materials/HighT/La0.7Ca0.3MnO3_CollCode_88398.cif,3.7,233
Ca2RuO4,../data/Structures/MIT_materials/HighT/Ca2RuO4_HT_CollCode_94244.cif,4,357
Ca4Mn3O10,../data/Structures/MIT_materials/HighT/Ca4Mn3O10_CollCode_86648.cif,3,70
CaFe4(CuO4)3,../data/Structures/MIT_materials/HighT/CaCu3Fe4O12_CollCode_259139.cif,9,210
CaFeO3,../data/Structures/MIT_materials/HighT/CaFeO3_HT_CollCode_92330.cif,4,288
Cd2Os2O7,../data/Structures/MIT_materials/HighT/Cd2Os2O7_RoomT_CollCode_155773.cif,3,227
Cu(IrS2)2,../data/Structures/MIT_materials/HighT/CuIr2S4_HT_CollCode_75531.cif,6,230
DyFe4(CuO4)3,../data/Structures/MIT_materials/HighT/DyCu3Fe4O12_HT_CollCode_237419.cif,8,255
DyNiO3,../data/Structures/MIT_materials/HighT/DyNiO3_553K_CollCode_162114.cif,7,562
ErFe4(CuO4)3,../data/Structures/MIT_materials/HighT/ErCu3Fe4O12_HT_CollCode_237421.cif,8,255
ErNiO3,../data/Structures/MIT_materials/HighT/ErNiO3_653K_CollCode_191795.cif,7,583
EuFe4(CuO4)3,../data/Structures/MIT_materials/HighT/EuCu3Fe4O12_HT_CollCode_237403.cif,8,240
EuNiO3,../data/Structures/MIT_materials/HighT/EuNiO3_CollCode_88039.cif,7,460
Fe3O4,../data/Structures/MIT_materials/HighT/Fe3O4_HT_CollCode_26410.cif,5,120
FeBiO3,../data/Structures/MIT_materials/HighT/BiFeO3_R3ch_RoomT_CollCode_230683.cif,5,1203
FeS,../data/Structures/MIT_materials/HighT/FeS_HT_CollCode_35008.cif,6,416.8146214
GdFe4(CuO4)3,../data/Structures/MIT_materials/HighT/GdCu3Fe4O12_HT_CollCode_237417.cif,8,253
GdNiO3,../data/Structures/MIT_materials/HighT/GdNiO3_CollCode_88040.cif,7,509
Hg2Ru2O7,../data/Structures/MIT_materials/HighT/Hg2Ru2O7_Pyro_RoomT_CollCode_420818.cif,3,107
HoFe4(CuO4)3,../data/Structures/MIT_materials/HighT/HoCu3Fe4O12_HT_CollCode_237420.cif,8,255
K3(MoO3)10,../data/Structures/MIT_materials/HighT/K0.3MoO3_HT_CollCode_73509.cif,0,180
KV4O8,../data/Structures/MIT_materials/HighT/K2V8O16_HT_CollCode_100596.cif,1.25,170
LaCoO3,../data/Structures/MIT_materials/HighT/LaCoO3_HT_CollCode_201764.cif,6,500
LaCr4(CuO4)3,../data/Structures/MIT_materials/HighT/LaCu3Cr4O12_CollCode_248598.cif,9,225
LaFe4(CuO4)3,../data/Structures/MIT_materials/HighT/LaCu3Fe4O12_HT_CollCode_259141.cif,9,255
LuFe4(CuO4)3,../data/Structures/MIT_materials/HighT/LuCu3Fe4O12_HT_CollCode_237424.cif,8,367.18
LuNiO3,../data/Structures/MIT_materials/HighT/LuNiO3_673K_CollCode_191796.cif,7,598.585
MgTi2O4,../data/Structures/MIT_materials/HighT/MgTi2O4_HT_CollCode_28324.cif,1,250
NaOsO3,../data/Structures/MIT_materials/HighT/NaOsO3_CollCode_252431.cif,3,410
NbO2,../data/Structures/MIT_materials/HighT/NbO2_HT_CollCode_75198.cif,1,1070
Nd2Ir2O7,../data/Structures/MIT_materials/HighT/Nd2Ir2O7_CollCode_239644.cif,5,33
NdCoO3,../data/Structures/MIT_materials/HighT/NdCoO3_CollCode_164822.cif,6,635
NdFe4(CuO4)3,../data/Structures/MIT_materials/HighT/NdCu3Fe4O12_HT_CollCode_237414.cif,8,250
NdNiO3,../data/Structures/MIT_materials/HighT/NdNiO3_HT_CollCode_67724.cif,7,200
NiSeS,../data/Structures/MIT_materials/HighT/NiSeS_CollCode_646374.cif,8,350
Pr(P3Ru)4,../data/Structures/MIT_materials/HighT/PrRu4P12_HandGenerated.cif,0,60
