Compound,R_300K(Ohm_cm),source,min,max
BaMoO3,7.00E-05,https://doi.org/10.1016/j.jallcom.2003.10.006,,
BaRuO3,0.00125,http://dx.doi.org/10.1016/j.tsf.2011.09.007,,
Bi2Ru2O7,5.43E-04,https://doi.org/10.1103/physrevb.73.193107,,
CaCrO3,8.00E-04,https://doi.org/10.1016/0022-4596(71)90098-3,,
CaMoO3,7.50E-05,https://doi.org/10.1143/APEX.3.073003,,
CaRuO3,0.0005,http://dx.doi.org/10.1016/j.tsf.2011.09.007,,
CrO2,3.00E-04,https://doi.org/10.1103/PhysRevB.58.11597,,
IrO2,1.10E-04,https://doi.org/10.2320/matertrans.45.3023,4.50E-05,2.40E-04
LaCr4(CuO4)3,5.00E-03,https://doi.org/10.1002/chem.201403692,,
LaCuO3,7.00E-06,https://doi.org/10.1103/PhysRevB.89.245138,,
LaNiO3,1.00E-04,https://doi.org/10.1103/PhysRevB.89.245138,,
LaRuO3,0.005,http://dx.doi.org/10.1016/j.tsf.2011.09.007,,
LaTiO3,2.50E-02,https://doi.org/10.1103/PhysRevB.44.13250,,
Li7Ti5O12,0.333333333,https://doi.org/10.1002/aenm.201300134,,
MoO2,3.00E-04,https://doi.org/10.1016/0025-5408(74)90120-2,,
NbO,1.40E-05,https://doi.org/10.1016/0022-4596(70)90047-2,,
OsO2,1.60E-05,http://dx.doi.org/10.1016/j.jcrysgro.2003.10.021,,
PdCoO2,3.00E-06,https://arxiv.org/abs/1804.01896,,
PtCoO2,2.00E-06,https://arxiv.org/abs/1804.01896,,
PtO2,6.00E-04,https://doi.org/10.1016/0038-1098(68)90019-7,,2
ReO2,1.00E-04,https://pubs.acs.org/doi/abs/10.1021/ic50074a029,,
ReO3,1.80E-05,https://doi.org/10.1016/0038-1098(71)90510-2,,
RhO2,1.00E-04,https://doi.org/10.1016/0038-1098(68)90019-7,,
Ru15.44Pb15.84O51.84,,,,
RuO2,4.00E-05,https://pubs.acs.org/doi/abs/10.1021/ic50074a029,,
Sr2MoO4,9.50E-03,https://arxiv.org/abs/cond-mat/0009470,,
Sr2RuO4,1.80E-04,https://doi.org/10.1103/PhysRevB.58.R10107,1.80E-04,2.75E-02
SrCoO3,5.50E-03,https://doi.org/10.1088/0953-8984/23/24/245601,1.30E-03,5.50E-03
SrCrO3,1.35E-03,https://doi.org/10.1088/0953-8984/27/24/245605,,
LaSrCuO4,0.398107171,https://doi.org/10.1007/s11175-005-0089-9,0.199526231,10
LaSrNiO4,2.20E-03,https://doi.org/10.1134/1.1507234,1.95E-03,3.70E-03
SrMoO3,2.80E-05,https://doi.org/10.1143/APEX.3.073003,0.001,
SrRuO3,9.50E-04,https://arxiv.org/abs/1010.2766,,
SrVO3,4.20E-02,https://doi.org/10.1016/S0925-8388(02)01349-X,,
TiO,2.90E-04,https://doi.org/10.1103/PhysRevB.5.2775,,
W18O49,3.02E-03,https://doi.org/10.1016/0022-4596(81)90190-0,,
WO2,2.00E-03,https://pubs.acs.org/doi/abs/10.1021/ic50074a029,,
