Compound,Label,struct_file_path,range_MendeleevNumber,mean_MendeleevNumber,avg_dev_MendeleevNumber,maximum_AtomicWeight,range_AtomicWeight,mean_AtomicWeight,avg_dev_AtomicWeight,maximum_MeltingT,range_MeltingT,mean_MeltingT,avg_dev_MeltingT,range_Column,mean_Column,avg_dev_Column,mode_Column,maximum_Row,range_Row,mean_Row,avg_dev_Row,maximum_CovalentRadius,range_CovalentRadius,mean_CovalentRadius,avg_dev_CovalentRadius,mode_CovalentRadius,minimum_Electronegativity,maximum_Electronegativity,range_Electronegativity,mean_Electronegativity,avg_dev_Electronegativity,mode_Electronegativity,avg_dev_NsValence,mode_NsValence,range_NpValence,mean_NpValence,avg_dev_NpValence,mode_NpValence,minimum_NdValence,range_NdValence,mean_NdValence,avg_dev_NdValence,range_NfValence,avg_dev_NfValence,minimum_NValence,maximum_NValence,range_NValence,mean_NValence,avg_dev_NValence,mode_NValence,avg_dev_NsUnfilled,mode_NsUnfilled,minimum_NpUnfilled,maximum_NpUnfilled,range_NpUnfilled,mean_NpUnfilled,avg_dev_NpUnfilled,mode_NpUnfilled,range_NdUnfilled,avg_dev_NdUnfilled,range_NfUnfilled,avg_dev_NfUnfilled,minimum_NUnfilled,range_NUnfilled,mean_NUnfilled,avg_dev_NUnfilled,mode_NUnfilled,minimum_GSvolume_pa,range_GSvolume_pa,mean_GSvolume_pa,avg_dev_GSvolume_pa,mode_GSvolume_pa,avg_dev_GSbandgap,mode_GSbandgap,avg_dev_GSmagmom,maximum_SpaceGroupNumber,mean_SpaceGroupNumber,avg_dev_SpaceGroupNumber,mode_SpaceGroupNumber,minimum_oxidation_state,maximum_oxidation_state,range_oxidation_state,std_dev_oxidation_state,ewald_energy_per_atom,mean_absolute_deviation_in_relative_bond_length,max_relative_bond_length,min_relative_bond_length,minimum_neighbor_distance_variation,maximum_neighbor_distance_variation,range_neighbor_distance_variation,mean_neighbor_distance_variation,avg_dev_neighbor_distance_variation,mean_absolute_deviation_in_relative_cell_size,gii,struct_ordered,struct_disordered,avg_mm_dists,max_mx_dists,min_mx_dists,avg_mx_dists,max_xx_dists,min_xx_dists,avg_xx_dists,v_m,v_x,iv_p1,est_hubbard_u,est_charge_trans,volume_per_site
Ba(FeSb3)4,0,../data/Structures/Metals/BaFe4Sb12_CollCode_658735.cif,76,73.47058824,16.27681661,137.327,81.482,107.1662941,24.15119723,1811,907.22,1122.903529,323.8101038,13,12.58823529,3.404844291,15,6,2,4.823529412,0.387543253,215,83,141.8235294,8.60899654,139,0.89,2.05,1.16,1.93,0.169411765,2.05,0,2,3,2.117647059,1.24567474,3,0,10,8.470588235,2.15916955,0,0,2,15,13,12.58823529,3.404844291,15,0,0,0,3,3,2.117647059,1.24567474,3,4,1.439446367,0,0,0,4,3.058823529,0.442906574,3,10.73,52.86,28.54294118,8.382560554,31.56,0,0,0.759546475,229,184.5294118,26.15916955,166,-3,3,6,3.424908758,-12.91661291,0.056175253,1.18019375,0.880627588,0.024205665,0.121384578,0.097178914,0.094188603,0.038394317,0.107611327,0,1,0,4.601,2.596480908,2.596480908,2.596480908,3.450762269,2.871024,3.26671818,-23.73580295,9.622199317,54.91,21.12932167,19.46106196,22.91752795
Ba(NiP)2,0,../data/Structures/Metals/BaNi2P2_SD_1701656.cif,74,59.4,20.16,137.327,106.353238,63.3322648,29.59789408,1728,1410.7,1018.12,567.904,13,10.4,3.68,10,6,3,4,0.8,215,108,135.4,31.84,107,0.89,2.19,1.3,1.818,0.3712,1.91,0,2,3,1.2,1.44,0,0,8,3.2,3.84,0,0,2,10,8,6.4,2.88,5,0,0,0,3,3,1.2,1.44,0,2,0.96,0,0,0,3,2,0.8,2,10.32,53.27,25.87409524,15.0863619,10.32,0.78,0,0.285789456,229,136.6,107.68,2,-3,2,5,3.061862178,-29.02209434,0.089553943,1.223884859,0.916288264,0.04679893,0.204724586,0.157925655,0.156006639,0.043683083,0.198105907,1.080041591,1,0,2.790950465,2.259574041,2.259574041,2.259574041,3.709116,3.554334661,3.63172533,-22.39008381,28.41495651,35.187,11.85875477,35.44597866,18.41415224
Ba(PIr)2,0,../data/Structures/Metals/BaIr2P2_CollCode_95757.cif,74,59,20,192.217,161.243238,116.7417048,68.61435424,2739,2421.7,1422.52,1053.184,13,10,4,9,6,3,4.8,1.44,215,108,142.2,29.12,107,0.89,2.2,1.31,1.934,0.4176,2.19,0,2,3,1.2,1.44,0,0,7,2.8,3.36,14,6.72,2,23,21,11.6,9.12,5,0,0,0,3,3,1.2,1.44,0,3,1.44,0,0,0,3,2.4,0.96,3,14.21,49.38,27.43009524,14.4639619,14.21,0.78,0,0,229,136.6,107.68,2,-3,2,5,3.061862178,-27.92934325,0.082147063,1.205367656,0.918175119,0.057856142,0.182769486,0.124913344,0.138488972,0.035424412,0.180684458,3.015801564,1,0,2.790243359,2.35516928,2.35516928,2.35516928,3.794974486,3.7137688,3.754371643,-20.21021135,27.76352666,28,5.83928527,34.04218043,19.5757556
Ba(PRh)2,0,../data/Structures/Metals/BaRh2P2_CollCode_50188.cif,74,58.6,19.84,137.327,106.353238,81.0171048,40.03467424,2237,1919.7,1221.72,812.224,13,10,4,9,6,3,4.4,1.12,215,108,142.6,28.96,107,0.89,2.28,1.39,1.966,0.4304,2.19,0.48,1,3,1.2,1.44,0,0,8,3.2,3.84,0,0,2,9,7,6,2.4,5,0.48,0,0,3,3,1.2,1.44,0,2,0.96,0,0,0,3,2.4,0.96,3,13.64,49.95,27.20209524,14.5551619,13.64,0.78,0,0,229,136.6,107.68,2,-3,2,5,3.061862178,-28.03065347,0.083164921,1.207912302,0.916940115,0.057396974,0.185251663,0.127854689,0.139969068,0.036226076,0.183177302,1.33793533,1,0,2.785293611,2.346291033,2.346291033,2.346291033,3.776568012,3.7375872,3.757077606,-20.39712611,27.83312712,31.06,7.81011416,33.19556035,19.51257073
Ba(Sb3Os)4,0,../data/Structures/Metals/BaOs4Sb12_CollCode_658736.cif,76,73.94117647,15.61245675,190.23,68.47,138.7862941,24.20880277,3306,2402.22,1474.668235,861.8031834,13,12.58823529,3.404844291,15,6,1,5.294117647,0.415224913,215,76,144.6470588,8.276816609,139,0.89,2.2,1.31,2.017058824,0.132595156,2.05,0,2,3,2.117647059,1.24567474,3,0,10,8.470588235,2.15916955,14,5.038062284,2,22,20,15.88235294,2.878892734,15,0,0,0,3,3,2.117647059,1.24567474,3,4,1.439446367,0,0,0,4,3.058823529,0.442906574,3,14.09,49.5,29.33352941,7.173425606,31.56,0,0,0,229,176.2941176,14.53287197,166,-3,3,6,3.315101656,-12.72576788,0.056175253,1.18019375,0.880627588,0.024205665,0.121384578,0.097178914,0.094188603,0.038394317,0.107611327,1.037038074,1,0,4.67,2.635419656,2.635419656,2.635419656,3.502512453,2.91408,3.315708302,-23.38510265,9.480029777,41,12.91656317,10.42535497,23.96413247
Ba(Sb3Ru)4,0,../data/Structures/Metals/BaRu4Sb12_CollCode_42963.cif,76,73.70588235,15.94463668,137.327,36.257,117.8074706,7.876456747,2607,1703.22,1310.197647,610.2599308,13,12.58823529,3.404844291,15,6,1,5.058823529,0.110726644,215,76,145.1176471,8.636678201,139,0.89,2.2,1.31,2.017058824,0.132595156,2.05,0.359861592,2,3,2.117647059,1.24567474,3,0,10,8.705882353,1.826989619,0,0,2,15,13,12.58823529,3.404844291,15,0.359861592,0,0,3,3,2.117647059,1.24567474,3,3,1.079584775,0,0,0,4,3.058823529,0.442906574,3,13.51,50.08,29.19705882,7.382145329,31.56,0,0,0,229,176.2941176,14.53287197,166,-3,4,7,3.467016299,0,0.055991765,1.181747507,0.881017499,0.024330298,0.121306017,0.096975719,0.094261347,0.038180711,0.107255232,0,1,0,4.653,2.626258388,2.626258388,2.626258388,3.486106874,2.89621332,3.300797989,-62.75050516,24.544955,178.41,65.25621639,17.08603812,23.70337719
BaMoO3,0,../data/Structures/Metals/BaMoO3_CollCode_291573.cif,78,64,27.6,137.327,121.3276,56.25704,48.309168,2896,2841.2,812.08,908.736,14,11.2,5.76,16,6,4,3.4,1.68,215,149,113.4,56.88,66,0.89,3.44,2.55,2.674,0.9192,3.44,0.32,2,4,2.4,1.92,4,0,5,1,1.6,0,0,2,6,4,5.2,1.28,6,0.32,0,0,2,2,1.2,0.96,2,5,1.6,0,0,0,6,2.4,1.44,2,9.105,54.485,21.319,16.9084,9.105,0,0,0,229,98.8,104.16,12,-2,4,6,3.380617019,-35.28749841,0.084157582,1.116671577,0.789606045,1.03617E-16,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.321007181,1,0,4.04077,2.020385,2.020385,2.020385,2.857255868,2.857255868,2.857255868,-44.1082149,23.00620872,54.417,10.5234094,11.94642641,13.19539482
BaNiS2,0,../data/Structures/Metals/BaNiS2_CollCode_246945.cif,79,61.5,26.5,137.327,105.262,65.0376,36.1447,1728,1339.64,876.18,487.82,14,11,5,16,6,3,4,1,215,110,137.25,38.875,105,0.89,2.58,1.69,1.99,0.59,2.58,0,2,4,2,2,4,0,8,2,3,0,0,2,10,8,6,2,6,0,0,0,2,2,1,1,2,2,0.75,0,0,0,2,1.5,0.75,2,10.32,53.27,31.3709375,16.10953125,25.786875,1.101,2.202,0.223273013,229,148.5,78.5,70,-2,2,4,2.529822128,-18.40107194,0.102066289,1.117233724,0.854741213,0.051618954,0.186064821,0.134445867,0.112952571,0.038326622,0.253872538,0.195701779,1,0,3.806513622,2.346952147,2.29964519,2.337490755,3.783737194,3.13764492,3.568373102,-21.0825982,20.13299268,35.187,13.23526473,21.61243445,21.92908073
BaOsO3,0,../data/Structures/Metals/BaOsO3_SD_0375565.cif,78,65.4,25.92,190.23,174.2306,75.11104,70.933968,3306,3251.2,894.08,1007.136,14,11.6,5.28,16,6,4,3.6,1.92,215,149,111.4,54.48,66,0.89,3.44,2.55,2.682,0.9096,3.44,0,2,4,2.4,1.92,4,0,6,1.2,1.92,14,4.48,2,22,20,8.4,5.44,6,0,0,0,2,2,1.2,0.96,2,4,1.28,0,0,0,4,2,0.8,2,9.105,54.485,20.999,17.0364,9.105,0,0,0,229,91.8,95.76,12,-2,4,6,3.380617019,-32.60682172,0.091910292,1.127400795,0.768788805,0.004945385,0.133902509,0.128957124,0.078131599,0.05394873,0.172403693,0.817184617,1,0,2.5770006,2.110866952,2.097129506,2.10555303,3.1,2.89354,2.978994305,-36.65969965,22.48152325,55,8.412244219,3.591514788,16.28991475
Bi2Ru2O7,0,../data/Structures/Metals/Bi2Ru2O7_CollCode_73787.cif,31,81.18181818,9.157024793,208.9804,192.981,66.55423636,64.34251901,2607,2552.2,607.8545455,726.9619835,8,14.36363636,2.314049587,16,6,4,3.272727273,1.619834711,148,82,95.45454545,37.48760331,66,2.02,3.44,1.42,2.956363636,0.61553719,3.44,0.297520661,2,4,3.090909091,1.157024793,4,0,10,3.090909091,3.933884298,14,4.165289256,6,29,23,10.54545455,6.710743802,6,0.297520661,0,0,3,3,1.818181818,0.661157025,2,3,0.892561983,0,0,2,2,2.545454545,0.694214876,2,9.105,23.845,14.24136364,6.803140496,9.105,0,0,0,194,45.09090909,54.14876033,12,-2,4,6,3.661454629,-39.92200524,0.075115018,1.076163413,0.793433699,3.81767E-17,0.202457931,0.202457931,0.096925989,0.04317771,0.149722831,0.277386243,1,0,3.639266471,1.938742147,1.938742147,1.938742147,3.691299926,2.717535579,3.077187149,-47.29887486,24.71539836,59,10.04325484,11.87614152,12.39349731
