Compound,Label,struct_file_path,maximum_MendeleevNumber,range_MendeleevNumber,avg_dev_MendeleevNumber,range_AtomicWeight,mean_AtomicWeight,avg_dev_AtomicWeight,mode_AtomicWeight,range_MeltingT,mean_MeltingT,avg_dev_MeltingT,range_Column,avg_dev_Column,mode_Column,maximum_Row,range_Row,mean_Row,avg_dev_Row,maximum_CovalentRadius,range_CovalentRadius,mean_CovalentRadius,avg_dev_CovalentRadius,minimum_Electronegativity,maximum_Electronegativity,range_Electronegativity,mean_Electronegativity,avg_dev_Electronegativity,mode_Electronegativity,avg_dev_NsValence,mode_NsValence,range_NpValence,mean_NpValence,avg_dev_NpValence,mode_NpValence,range_NdValence,mean_NdValence,avg_dev_NdValence,mode_NdValence,range_NfValence,avg_dev_NfValence,minimum_NValence,range_NValence,mean_NValence,avg_dev_NValence,mode_NValence,range_NsUnfilled,avg_dev_NsUnfilled,minimum_NpUnfilled,maximum_NpUnfilled,range_NpUnfilled,mean_NpUnfilled,avg_dev_NpUnfilled,mode_NpUnfilled,range_NdUnfilled,avg_dev_NdUnfilled,range_NfUnfilled,avg_dev_NfUnfilled,minimum_NUnfilled,range_NUnfilled,mean_NUnfilled,avg_dev_NUnfilled,mode_NUnfilled,minimum_GSvolume_pa,range_GSvolume_pa,mean_GSvolume_pa,avg_dev_GSvolume_pa,mode_GSvolume_pa,avg_dev_GSbandgap,mode_GSbandgap,avg_dev_GSmagmom,maximum_SpaceGroupNumber,range_SpaceGroupNumber,mean_SpaceGroupNumber,avg_dev_SpaceGroupNumber,mode_SpaceGroupNumber,minimum_oxidation_state,range_oxidation_state,std_dev_oxidation_state,ewald_energy_per_atom,mean_absolute_deviation_in_relative_bond_length,max_relative_bond_length,min_relative_bond_length,minimum_neighbor_distance_variation,maximum_neighbor_distance_variation,range_neighbor_distance_variation,mean_neighbor_distance_variation,avg_dev_neighbor_distance_variation,mean_absolute_deviation_in_relative_cell_size,gii,struct_ordered,struct_disordered,avg_mm_dists,max_mx_dists,min_mx_dists,avg_mx_dists,max_xx_dists,min_xx_dists,avg_xx_dists,v_m,v_x,iv,iv_p1,est_hubbard_u,est_charge_trans,volume_per_site
BaMoO3,0,../data/Structures/Metals/BaMoO3_CollCode_291573.cif,87,78,27.6,121.3276,56.25704,48.309168,15.9994,2841.2,812.08,908.736,14,5.76,16,6,4,3.4,1.68,215,149,113.4,56.88,0.89,3.44,2.55,2.674,0.9192,3.44,0.32,2,4,2.4,1.92,4,5,1,1.6,0,0,0,2,4,5.2,1.28,6,1,0.32,0,2,2,1.2,0.96,2,5,1.6,0,0,0,6,2.4,1.44,2,9.105,54.485,21.319,16.9084,9.105,0,0,0,229,217,98.8,104.16,12,-2,6,3.380617019,-35.28749841,0.084157582,1.116671577,0.789606045,1.03617E-16,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.321007181,1,0,4.04077,2.020385,2.020385,2.020385,2.857255868,2.857255868,2.857255868,-44.1082149,23.00620872,40.33,54.417,10.5234094,11.94642641,13.19539482
BaNiS2,0,../data/Structures/Metals/BaNiS2_CollCode_246945.cif,88,79,26.5,105.262,65.0376,36.1447,32.065,1339.64,876.18,487.82,14,5,16,6,3,4,1,215,110,137.25,38.875,0.89,2.58,1.69,1.99,0.59,2.58,0,2,4,2,2,4,8,2,3,0,0,0,2,8,6,2,6,0,0,0,2,2,1,1,2,2,0.75,0,0,0,2,1.5,0.75,2,10.32,53.27,31.3709375,16.10953125,25.786875,1.101,2.202,0.223273013,229,159,148.5,78.5,70,-2,4,2.529822128,-18.40139307,0.102066289,1.117233724,0.854741213,0.051618954,0.186064821,0.134445867,0.112952571,0.038326622,0.253872538,0.195701779,1,0,3.491120432,2.346952147,2.29964519,2.331183161,3.783737194,3.13764492,3.654518739,-21.0825982,20.13299268,18.168838,35.187,12.89351197,21.59576622,21.92908073
BaOsO3,0,../data/Structures/Metals/BaOsO3_SD_0375565.cif,87,78,25.92,174.2306,75.11104,70.933968,15.9994,3251.2,894.08,1007.136,14,5.28,16,6,4,3.6,1.92,215,149,111.4,54.48,0.89,3.44,2.55,2.682,0.9096,3.44,0,2,4,2.4,1.92,4,6,1.2,1.92,0,14,4.48,2,20,8.4,5.44,6,0,0,0,2,2,1.2,0.96,2,4,1.28,0,0,0,4,2,0.8,2,9.105,54.485,20.999,17.0364,9.105,0,0,0,229,217,91.8,95.76,12,-2,6,3.380617019,-32.60682172,0.091910292,1.127400795,0.768788805,0.004945385,0.133902509,0.128957124,0.078131599,0.05394873,0.172403693,0.817184617,1,0,2.5770006,2.110866952,2.097129506,2.10555303,3.1,2.89354,2.978994305,-36.65969965,22.48152325,41,55,8.412244219,3.591514788,16.28991475
Bi2Ru2O7,0,../data/Structures/Metals/Bi2Ru2O7_CollCode_73787.cif,87,31,9.157024793,192.981,66.55423636,64.34251901,15.9994,2552.2,607.8545455,726.9619835,8,2.314049587,16,6,4,3.272727273,1.619834711,148,82,95.45454545,37.48760331,2.02,3.44,1.42,2.956363636,0.61553719,3.44,0.297520661,2,4,3.090909091,1.157024793,4,10,3.090909091,3.933884298,0,14,4.165289256,6,23,10.54545455,6.710743802,6,1,0.297520661,0,3,3,1.818181818,0.661157025,2,3,0.892561983,0,0,2,2,2.545454545,0.694214876,2,9.105,23.845,14.24136364,6.803140496,9.105,0,0,0,194,182,45.09090909,54.14876033,12,-2,6,3.661454629,-39.92200524,0.075115018,1.076163413,0.793433699,3.81767E-17,0.202457931,0.202457931,0.096925989,0.04317771,0.149722831,0.277386243,1,0,3.639266471,1.938742147,1.938742147,1.938742147,3.691299926,2.717535579,3.077187149,-47.29887486,24.71539836,45,59,10.04325484,11.87614152,12.39349731
Ca3Ru2O7,0,../data/Structures/Metals/Ca3Ru2O7_CollCode_153769.cif,87,80,29.36111111,85.0706,36.19748333,23.56443056,15.9994,2552.2,745.2166667,805.4861111,14,5.638888889,16,5,3,3,1.166666667,176,110,106.8333333,47.63888889,1,3.44,2.44,2.623333333,0.952777778,3.44,0.277777778,2,4,2.333333333,1.944444444,4,7,1.166666667,1.944444444,0,0,0,2,6,5.333333333,1.666666667,6,1,0.277777778,0,2,2,1.166666667,0.972222222,2,3,0.833333333,0,0,0,4,1.833333333,0.916666667,2,9.105,28.665,17.00541667,10.38229167,9.105,0,0,0,225,213,95.58333333,97.51388889,12,-2,6,3.246010685,-33.81087033,0.05966631,1.065128203,0.821001069,0.007953626,0.152876055,0.14492243,0.10668691,0.039681704,0.123644509,0.117211702,1,0,3.868726944,2.001217091,1.981048817,1.992857194,3.488881884,2.740998508,2.933553444,-43.37820348,25.38567693,45,59,10.27793581,8.827433771,12.12024632
CaCrO3,0,../data/Structures/Metals/CaCrO3_CollCode_245840.cif,87,80,28.32,35.9967,28.01446,14.418072,15.9994,2125.2,691.88,764.496,14,5.76,16,4,2,2.8,0.96,176,110,102.6,43.92,1,3.44,2.44,2.596,1.0128,3.44,0.32,2,4,2.4,1.92,4,5,1,1.6,0,0,0,2,4,5.2,1.28,6,1,0.32,0,2,2,1.2,0.96,2,5,1.6,0,0,0,6,2.4,1.44,2,9.105,28.665,15.255,9.006,9.105,0,0,0,229,217,98,103.2,12,-2,6,3.380617019,-37.76554486,0.077158772,1.081071796,0.807103069,0.010833078,0.140177591,0.129344513,0.094279021,0.042826728,0.136472901,0.334821232,1,0,3.747985348,1.934582757,1.880321446,1.907718178,3.283739675,2.677252046,2.813798135,-46.43851441,25.05729495,49.16,69.46,16.45802927,7.076892085,10.53909991
CaMoO3,0,../data/Structures/Metals/CaMoO3_CollCode_172790.cif,87,80,28.08,79.9606,36.80724,24.969408,15.9994,2841.2,835.08,936.336,14,5.76,16,5,3,3,1.2,176,110,105.6,47.52,1,3.44,2.44,2.696,0.8928,3.44,0.32,2,4,2.4,1.92,4,5,1,1.6,0,0,0,2,4,5.2,1.28,6,1,0.32,0,2,2,1.2,0.96,2,5,1.6,0,0,0,6,2.4,1.44,2,9.105,28.665,16.155,8.646,9.105,0,0,0,229,217,98,103.2,12,-2,6,3.380617019,-36.11947913,0.07214772,1.060207547,0.819630701,0.004105989,0.145426227,0.141320237,0.099086793,0.045393416,0.127737254,0.179227001,1,0,3.895607642,2.009171748,1.998336244,2.00481536,3.344329213,2.80866302,2.921900813,-44.00777984,23.93083827,40.33,54.417,10.39061902,12.71527035,11.83695896
CaRhO3,0,../data/Structures/Metals/CaRhO3_RoomT_CollCode_164775.cif,87,80,25.92,86.9061,38.19634,26.636328,15.9994,2182.2,703.28,778.176,14,5.04,16,5,3,3,1.2,176,110,103.2,44.64,1,3.44,2.44,2.72,0.864,3.44,0.32,2,4,2.4,1.92,4,8,1.6,2.56,0,0,0,2,7,5.8,1.52,6,1,0.32,0,2,2,1.2,0.96,2,2,0.64,0,0,0,3,1.8,0.72,2,9.105,28.665,15.745,8.81,9.105,0,0,0,225,213,97.2,102.24,12,-2,6,3.380617019,-36.65399539,0.067018541,1.043530424,0.832453646,0.051372113,0.157596297,0.106224184,0.112991332,0.035475458,0.118733515,21.59037565,1,0,3.8332164,2.134240079,1.855893791,1.99891639,3.222401061,2.70268993,2.892125903,-44.23464185,24.38186378,42,63,17.24345497,11.70196162,11.30616138
CrO2,0,../data/Structures/Metals/CrO2_CollCode_202836.cif,87,38,16.88888889,35.9967,27.9983,15.99853333,15.9994,2125.2,763.2,944.5333333,10,4.444444444,16,4,2,2.666666667,0.888888889,139,73,90.33333333,32.44444444,1.66,3.44,1.78,2.846666667,0.791111111,3.44,0.444444444,2,4,2.666666667,1.777777778,4,5,1.666666667,2.222222222,0,0,0,6,0,6,0,6,1,0.444444444,0,2,2,1.333333333,0.888888889,2,5,2.222222222,0,0,2,4,3.333333333,1.777777778,2,9.105,2.085,9.8,0.926666667,9.105,0,0,0,229,217,84.33333333,96.44444444,12,-2,6,4.242640687,-48.44328635,0.099028215,1.074271161,0.851457677,0.005186849,0.170680128,0.165493278,0.115515701,0.073552568,0.175416185,0.461232813,1,0,3.450124167,1.91143509,1.891074541,1.901254816,2.68881889,2.471404295,2.616347359,-46.10256388,26.56143024,49.16,69.46,16.12633862,8.2194169,9.504906711
IrO2,0,../data/Structures/Metals/IrO2_CollCode_84577.cif,87,27,12,176.2176,74.7386,78.31893333,15.9994,2684.2,949.5333333,1192.977778,7,3.111111111,16,6,4,3.333333333,1.777777778,141,75,91,33.33333333,2.2,3.44,1.24,3.026666667,0.551111111,3.44,0,2,4,2.666666667,1.777777778,4,7,2.333333333,3.111111111,0,14,6.222222222,6,17,11.66666667,7.555555556,6,0,0,0,2,2,1.333333333,0.888888889,2,3,1.333333333,0,0,2,1,2.333333333,0.444444444,2,9.105,5.105,10.80666667,2.268888889,9.105,0,0,0,225,213,83,94.66666667,12,-2,6,4.242640687,-46.55224394,0.093338388,1.070003791,0.859992417,0.016153817,0.169483129,0.153329312,0.118373358,0.068146361,0.163088389,0.33809062,1,0,3.555580332,1.998811236,1.960410092,1.979610664,2.79972393,2.450353336,2.683267066,-44.47059903,25.35667573,40,57,12.95012666,14.84247794,10.68445198
