Compound,Label,struct_file_path,gii,est_hubbard_u,est_charge_trans,ewald_energy_per_atom,avg_dev_Electronegativity,range_MendeleevNumber,avg_dev_CovalentRadius,avg_mm_dists,avg_mx_dists,avg_xx_dists
Ba(FeSb3)4,0,../data/Structures/Metals/BaFe4Sb12_CollCode_658735.cif,0,21.12932167,19.46106196,-12.91661291,0.169411765,76,8.60899654,4.601,2.596480908,3.26671818
Ba(NiP)2,0,../data/Structures/Metals/BaNi2P2_SD_1701656.cif,1.080041591,11.85875477,35.44597866,-29.02209434,0.3712,74,31.84,2.790950465,2.259574041,3.63172533
Ba(PIr)2,0,../data/Structures/Metals/BaIr2P2_CollCode_95757.cif,3.015801564,5.83928527,34.04218043,-27.92934325,0.4176,74,29.12,2.790243359,2.35516928,3.754371643
Ba(PRh)2,0,../data/Structures/Metals/BaRh2P2_CollCode_50188.cif,1.33793533,7.81011416,33.19556035,-28.03065347,0.4304,74,28.96,2.785293611,2.346291033,3.757077606
Ba(Sb3Os)4,0,../data/Structures/Metals/BaOs4Sb12_CollCode_658736.cif,1.037038074,12.91656317,10.42535497,-12.72576788,0.132595156,76,8.276816609,4.67,2.635419656,3.315708302
Ba(Sb3Ru)4,0,../data/Structures/Metals/BaRu4Sb12_CollCode_42963.cif,0,65.25621639,17.08603812,0,0.132595156,76,8.636678201,4.653,2.626258388,3.300797989
BaMoO3,0,../data/Structures/Metals/BaMoO3_CollCode_291573.cif,0.321007181,10.5234094,11.94642641,-35.28749841,0.9192,78,56.88,4.04077,2.020385,2.857255868
BaNiS2,0,../data/Structures/Metals/BaNiS2_CollCode_246945.cif,0.195701779,13.23526473,21.61243445,-18.40107194,0.59,79,38.875,3.806513622,2.337490755,3.568373102
BaOsO3,0,../data/Structures/Metals/BaOsO3_SD_0375565.cif,0.817184617,8.412244219,3.591514788,-32.60682172,0.9096,78,54.48,2.5770006,2.10555303,2.978994305
Bi2Ru2O7,0,../data/Structures/Metals/Bi2Ru2O7_CollCode_73787.cif,0.277386243,10.04325484,11.87614152,-39.92200524,0.61553719,31,37.48760331,3.639266471,1.938742147,3.077187149
Ca(FeSb3)4,0,../data/Structures/Metals/CaFe4Sb12_CollCode_42961.cif,0,20.06934854,19.45931016,0,0.160276817,78,4.290657439,4.577,2.55979637,3.484248574
Ca3Ru2O7,0,../data/Structures/Metals/Ca3Ru2O7_CollCode_153769.cif,0.117211702,10.27020115,8.827433771,-33.81068315,0.952777778,80,47.63888889,3.860704175,1.992857194,2.968528985
CaCrO3,0,../data/Structures/Metals/CaCrO3_CollCode_245840.cif,0.334821232,16.45916859,7.076892085,-37.76524179,1.0128,80,43.92,3.749097131,1.907718178,2.813988827
CaMoO3,0,../data/Structures/Metals/CaMoO3_CollCode_172790.cif,0.179227001,10.39234439,12.71527035,-36.11938691,0.8928,80,47.52,3.897426856,2.00481536,2.925036916
CaRhO3,0,../data/Structures/Metals/CaRhO3_RoomT_CollCode_164775.cif,0.292496819,17.24345497,11.70196162,-36.65399539,0.864,80,44.64,3.8332164,1.99891639,2.892125903
Ce(FeSb3)4,0,../data/Structures/Metals/CeFe4Sb12_CollCode_621065.cif,0,19.39168406,19.45936051,-90.57137933,0.150311419,70,7.39100346,4.5675,2.554159722,3.477261373
Ce(P3Os)4,0,../data/Structures/Metals/CeOs4P12_CollCode_621731.cif,0.513903267,63.1080381,-4.067214433,-94.59786904,0.118754325,68,20.34602076,4.0313,2.347379986,2.895560926
Ce(Sb3Ru)4,0,../data/Structures/Metals/CeRu4Sb12_CollCode_621988.cif,0.100049892,65.30183764,10.44131864,-87.49130371,0.107128028,70,7.723183391,4.63285,2.614389132,3.537041847
CrO2,0,../data/Structures/Metals/CrO2_CollCode_202836.cif,0.461232813,16.05337114,8.232910724,-48.44477649,0.791111111,38,32.44444444,3.390842593,1.904648241,2.773999034
Dy(CoSi)2,0,../data/Structures/Metals/DyCo2Si2_SD_0311337.cif,0,11.17385474,16.99590071,-49.73709238,0.2144,47,23.52,2.747109845,2.31931099,2.33952
Dy(NiP)2,0,../data/Structures/Metals/DyNi2P2_SD_0459404.cif,0.468640203,11.73795345,39.89219567,-49.05064735,0.2656,52,24.48,2.727098723,2.314954786,2.112874
Dy(SiNi)2,0,../data/Structures/Metals/DyNi2Si2_CollCode_198757.cif,0,11.43581668,16.84336398,0,0.2192,47,23.84,2.784586504,2.341829685,2.230488
Er(CoSi)2,0,../data/Structures/Metals/ErCo2Si2_SD_0548635.cif,0,11.1711549,16.99780289,-50.39395832,0.208,43,22.56,2.745695631,2.293060676,2.44025
