Compound,Label,struct_file_path,gii,est_hubbard_u,est_charge_trans,ewald_energy_per_atom,maximum_MendeleevNumber,range_MendeleevNumber,avg_dev_CovalentRadius,avg_mm_dists,avg_mx_dists,avg_xx_dists
BaMoO3,0,../data/Structures/Metals/BaMoO3_CollCode_291573.cif,0.321007181,10.5234094,11.94642641,-35.28749841,87,78,56.88,4.04077,2.020385,2.857255868
BaNiS2,0,../data/Structures/Metals/BaNiS2_CollCode_246945.cif,0.195701779,12.89351197,21.59576622,-18.40139307,88,79,38.875,3.491120432,2.331183161,3.654518739
BaOsO3,0,../data/Structures/Metals/BaOsO3_SD_0375565.cif,0.817184617,8.412244219,3.591514788,-32.60682172,87,78,54.48,2.5770006,2.10555303,2.978994305
Bi2Ru2O7,0,../data/Structures/Metals/Bi2Ru2O7_CollCode_73787.cif,0.277386243,10.04325484,11.87614152,-39.92200524,87,31,37.48760331,3.639266471,1.938742147,3.077187149
Ca3Ru2O7,0,../data/Structures/Metals/Ca3Ru2O7_CollCode_153769.cif,0.117211702,10.27793581,8.827433771,-33.81087033,87,80,47.63888889,3.868726944,1.992857194,2.933553444
CaCrO3,0,../data/Structures/Metals/CaCrO3_CollCode_245840.cif,0.334821232,16.45802927,7.076892085,-37.76554486,87,80,43.92,3.747985348,1.907718178,2.813798135
CaMoO3,0,../data/Structures/Metals/CaMoO3_CollCode_172790.cif,0.179227001,10.39061902,12.71527035,-36.11947913,87,80,47.52,3.895607642,2.00481536,2.921900813
CaRhO3,0,../data/Structures/Metals/CaRhO3_RoomT_CollCode_164775.cif,21.59037565,17.24345497,11.70196162,-36.65399539,87,80,44.64,3.8332164,1.99891639,2.892125903
CrO2,0,../data/Structures/Metals/CrO2_CollCode_202836.cif,0.461232813,16.12633862,8.2194169,-48.44328635,87,38,32.44444444,3.450124167,1.901254816,2.616347359
IrO2,0,../data/Structures/Metals/IrO2_CollCode_84577.cif,0.33809062,12.95012666,14.84247794,-46.55224394,87,27,33.33333333,3.555580332,1.979610664,2.683267066
LaCuO3,0,../data/Structures/Metals/LaCuO3_CollCode_73554.cif,0.17490188,16.81871161,8.357028111,-33.1963344,87,74,49.68,3.870573596,1.952442824,2.944153343
LaNiO3,0,../data/Structures/Metals/LaNiO3_CollCode_67714.cif,0.381625687,15.97487891,10.54882688,-33.53280898,87,74,47.76,3.831608844,1.932730134,2.914259428
LaRuO3,0,../data/Structures/Metals/LaRuO3_CollCode_75569.cif,0.020493113,12.89182973,14.90462246,-32.52500262,87,74,53.04,3.957937348,2.030541707,2.977909775
LiTi2O4,0,../data/Structures/Metals/LiTi2O4_CollCode_51184.cif,0.277240952,31.60241352,13.71425218,-30.22045696,87,86,40.81632653,3.347797037,1.997245185,2.794197249
MoO2,0,../data/Structures/Metals/MoO2_CollCode_80830.cif,0.322788123,8.356268913,13.60238431,-45.10673687,87,37,39.11111111,2.512707328,2.010207988,2.88069032
NbO,0,../data/Structures/Metals/NbO_CollCode_237585.cif,0.277240952,5.884797568,12.27600804,-20.57308131,87,40,49,2.978086275,2.105825,2.978086275
OsO2,0,../data/Structures/Metals/OsO2_CollCode_15070.cif,0.164449672,9.953087154,13.68705256,-46.43866148,87,30,34.66666667,3.558181396,1.983670923,2.684563481
ReO2,0,../data/Structures/Metals/ReO2_CollCode_154021.cif,0.277240952,8.878353974,14.82768992,-45.9305686,87,33,37.77777778,3.67183828,1.984700479,2.818522969
ReO3,0,../data/Structures/Metals/ReO3_CollCode_77679.cif,0.277240952,11.87050288,9.286902257,-68.756142,87,33,31.875,3.7504,1.8752,2.651933272
RhO2,0,../data/Structures/Metals/RhO2_CollCode_28498.cif,32.48132765,16.91859195,13.84601722,-47.23793101,87,28,33.77777778,3.528108397,1.972854421,2.630294558
