model_type,positive_class,metric_name,metric_value,metric_dispersion,raw_metric
XGBClassifier,Metal,precision_weighted,0.856067773,0.010001326,"[0.8557252905078991, 0.8524691358024691, 0.8564102564102565, 0.8547101449275362, 0.8819047619047619, 0.8708259061200238, 0.8419622425629292, 0.8666666666666667, 0.8594202898550726, 0.8552845528455284]"
XGBClassifier,Metal,recall_weighted,0.857246377,0.01884058,"[0.8478260869565217, 0.8478260869565217, 0.8666666666666667, 0.8478260869565217, 0.8695652173913043, 0.8695652173913043, 0.8478260869565217, 0.8478260869565217, 0.8666666666666667, 0.8666666666666667]"
XGBClassifier,Metal,roc_auc,0.864425281,0.039226727,"[0.8412162162162162, 0.8828828828828829, 0.8798798798798799, 0.8344594594594594, 0.902027027027027, 0.8768768768768769, 0.9009009009009009, 0.8479729729729729, 0.8258258258258258, 0.8519736842105263]"
XGBClassifier,Metal,f1_weighted,0.852532268,0.010465196,"[0.8418478260869564, 0.8479541588324827, 0.8588972431077694, 0.8507883765399203, 0.8722222222222222, 0.8542761586239848, 0.8443648763853367, 0.8567129557067178, 0.8588972431077694, 0.8478632478632478]"
XGBClassifier,Insulator,precision_weighted,0.831626167,0.021381214,"[0.8260869565217391, 0.827273497754047, 0.7995951417004049, 0.8260869565217391, 0.8490612648221345, 0.8056653491436101, 0.8485060690943044, 0.835978835978836, 0.8443544759334234, 0.8490612648221345]"
XGBClassifier,Insulator,recall_weighted,0.826086957,0.021256039,"[0.8260869565217391, 0.8260869565217391, 0.8, 0.8222222222222222, 0.8478260869565217, 0.8043478260869565, 0.8444444444444444, 0.8260869565217391, 0.8444444444444444, 0.8478260869565217]"
XGBClassifier,Insulator,roc_auc,0.916142857,0.0105,"[0.8952380952380952, 0.9142857142857143, 0.8933333333333333, 0.918, 0.9123809523809523, 0.9257142857142857, 0.9371428571428572, 0.9180952380952381, 0.906, 0.9180952380952381]"
XGBClassifier,Insulator,f1_weighted,0.826086957,0.021074248,"[0.8260869565217391, 0.8250836120401338, 0.7993966817496228, 0.8216952129995607, 0.8480427560306225, 0.8046264006108004, 0.8425406538614084, 0.8260869565217391, 0.8439751969163732, 0.8480427560306225]"
XGBClassifier,MIT,precision_weighted,0.847073784,0.024827665,"[0.8449488491048593, 0.8491987179487179, 0.8764976958525345, 0.8695652173913043, 0.8666666666666667, 0.8222222222222222, 0.8180778032036613, 0.8409982174688057, 0.8363721365123888, 0.8494252873563217]"
XGBClassifier,MIT,recall_weighted,0.846135266,0.035869565,"[0.8478260869565217, 0.8478260869565217, 0.8666666666666667, 0.8695652173913043, 0.8666666666666667, 0.8222222222222222, 0.8260869565217391, 0.8444444444444444, 0.8260869565217391, 0.8260869565217391]"
