model_type,feature_set,positive_class,metric_name,metric_value,metric_dispersion,raw_metric
XGBClassifier,Reduced,Metal,precision_weighted,0.841431033,0.028772592,"[0.8616021659499921, 0.8557252905078991, 0.8406349206349206, 0.8222222222222222, 0.8627783669141039, 0.8260869565217391, 0.8407389711737537, 0.8421230942970073, 0.8594202898550726, 0.8040296924708378]"
XGBClassifier,Reduced,Metal,recall_weighted,0.8352657,0.024637681,"[0.8695652173913043, 0.8478260869565217, 0.8222222222222222, 0.8222222222222222, 0.8444444444444444, 0.8260869565217391, 0.8478260869565217, 0.8260869565217391, 0.8695652173913043, 0.8043478260869565]"
XGBClassifier,Reduced,Metal,roc_auc,0.851351351,0.026871444,"[0.847972972972973, 0.8256578947368421, 0.8986486486486487, 0.7635135135135135, 0.8885135135135135, 0.8125, 0.8558558558558559, 0.8588588588588588, 0.847972972972973, 0.8547297297297297]"
XGBClassifier,Reduced,Metal,f1_weighted,0.838054458,0.02592827,"[0.863129290617849, 0.8512872975277067, 0.8296296296296297, 0.8222222222222222, 0.8534387612223046, 0.8260869565217391, 0.843741765480896, 0.8323671497584542, 0.8619206880076445, 0.8057015448319795]"
XGBClassifier,Reduced,Insulator,precision_weighted,0.807876906,0.025974067,"[0.8074534161490682, 0.8025210084033613, 0.7863894139886578, 0.7882529323573506, 0.808300395256917, 0.8269230769230771, 0.8260869565217391, 0.7945341614906832, 0.827273497754047, 0.8117588932806324]"
XGBClassifier,Reduced,Insulator,recall_weighted,0.802173913,0.017391304,"[0.8043478260869565, 0.8, 0.782608695652174, 0.782608695652174, 0.8, 0.8043478260869565, 0.8222222222222222, 0.782608695652174, 0.8260869565217391, 0.8043478260869565]"
XGBClassifier,Reduced,Insulator,roc_auc,0.877,0.0115,"[0.882, 0.878, 0.8742857142857142, 0.876, 0.8685714285714285, 0.8742857142857142, 0.8933333333333333, 0.8876190476190475, 0.8959999999999999, 0.8760000000000001]"
XGBClassifier,Reduced,Insulator,f1_weighted,0.801476917,0.01778695,"[0.8023600681517005, 0.7975522692503824, 0.7830204216073781, 0.77921857784558, 0.8005937654626422, 0.8038852913968547, 0.8160597572362278, 0.782608695652174, 0.8250836120401338, 0.8046253469010175]"
XGBClassifier,Reduced,MIT,precision_weighted,0.864743083,0.026262788,"[0.8666290231507624, 0.8204404291360813, 0.8666666666666667, 0.8926282051282052, 0.8337941628264208, 0.8628571428571429, 0.8895993179880648, 0.8388888888888889, 0.8666666666666667, 0.8449488491048593]"
XGBClassifier,Reduced,MIT,recall_weighted,0.866666667,0.024275362,"[0.8695652173913043, 0.8260869565217391, 0.8666666666666667, 0.8888888888888888, 0.8222222222222222, 0.8666666666666667, 0.8913043478260869, 0.8444444444444444, 0.8695652173913043, 0.8478260869565217]"
XGBClassifier,Reduced,MIT,roc_auc,0.918803419,0.040998217,"[0.9215686274509803, 0.8838383838383839, 0.9368686868686869, 0.9494949494949494, 0.9184149184149184, 0.9166666666666667, 0.9191919191919191, 0.881118881118881, 0.8787878787878788, 0.9387254901960784]"
XGBClassifier,Reduced,MIT,f1_weighted,0.863741406,0.027650876,"[0.8660485933503835, 0.8213981244671781, 0.8666666666666667, 0.8902564102564102, 0.8262820512820512, 0.8614342179559572, 0.8899415963659961, 0.8367149758454108, 0.8666666666666667, 0.8459182349123945]"
