Compound,Label,struct_file_path,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,ewald_energy_per_atom,mean absolute deviation in relative bond length,max relative bond length,min relative bond length,minimum neighbor distance variation,maximum neighbor distance variation,range neighbor distance variation,mean neighbor distance variation,avg_dev neighbor distance variation,mean absolute deviation in relative cell size,gii,struct_ordered,struct_disordered,max_mm_dists,min_mm_dists,avg_mm_dists,max_mx_dists,min_mx_dists,avg_mx_dists,max_xx_dists,min_xx_dists,avg_xx_dists,v_m,v_x,iv,iv_p1,est_hubbard_u,est_charge_trans,volume_per_site
CaCrO3,0,../data/Structures/Metals/CaCrO3_CollCode_245840.cif,8,24,16,13.6,6.72,8,7,87,80,63.4,28.32,87,15.9994,51.9961,35.9967,28.01446,14.418072,15.9994,54.8,2180,2125.2,691.88,764.496,54.8,2,16,14,11.2,5.76,16,2,4,2,2.8,0.96,2,66,176,110,102.6,43.92,66,1,3.44,2.44,2.596,1.0128,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,6,4,5.2,1.28,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,6,6,2.4,1.44,2,9.105,37.77,28.665,15.255,9.006,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98,103.2,12,-2,4,6,3.380617019,-37.76554486,0.077158772,1.081071796,0.807103069,0.010833078,0.140177591,0.129344513,0.094279021,0.042826728,0.136472901,0.334821232,1,0,3.751320696,3.74465,3.747985348,1.934582757,1.880321446,1.907718178,3.283739675,2.677252046,2.813798135,-46.43851441,25.05729495,49.16,69.46,16.45802927,7.076892085,10.53909991
RuO2,0,../data/Structures/Metals/RuO2_CollCode_15071.cif,8,44,36,20,16,8,56,87,31,76.66666667,13.77777778,87,15.9994,101.07,85.0706,44.35626667,37.80915556,15.9994,54.8,2607,2552.2,905.5333333,1134.311111,54.8,8,16,8,13.33333333,3.555555556,16,2,5,3,3,1.333333333,2,66,146,80,92.66666667,35.55555556,66,2.2,3.44,1.24,3.026666667,0.551111111,3.44,1,2,1,1.666666667,0.444444444,2,0,4,4,2.666666667,1.777777778,4,0,7,7,2.333333333,3.111111111,0,0,0,0,0,0,0,6,8,2,6.666666667,0.888888889,6,0,1,1,0.333333333,0.444444444,0,0,2,2,1.333333333,0.888888889,2,0,3,3,1,1.333333333,0,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,9.105,13.51,4.405,10.57333333,1.957777778,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,72.66666667,80.88888889,12,-2,4,6,4.242640687,-46.92078229,0.094996851,1.071247638,0.857504724,0.012986343,0.168947274,0.155960931,0.116960297,0.069315969,0.166429107,0.151495811,1,0,3.5357211,3.5357211,3.5357211,1.983595123,1.942596304,1.963095713,2.776387943,2.467313292,2.67336306,-44.78172551,25.59898033,45,59,9.927379566,10.33471515,10.44706378
PtO2,0,../data/Structures/Metals/PtO2_CollCode_647316.cif,8,78,70,31.33333333,31.11111111,8,63,87,24,79,10.66666667,87,15.9994,195.084,179.0846,75.69426667,79.59315556,15.9994,54.8,2041.4,1986.6,717,882.9333333,54.8,10,16,6,14,2.666666667,16,2,6,4,3.333333333,1.777777778,2,66,136,70,89.33333333,31.11111111,66,2.28,3.44,1.16,3.053333333,0.515555556,3.44,1,2,1,1.666666667,0.444444444,2,0,4,4,2.666666667,1.777777778,4,0,9,9,3,4,0,0,14,14,4.666666667,6.222222222,0,6,24,18,12,8,6,0,1,1,0.333333333,0.444444444,0,0,2,2,1.333333333,0.888888889,2,0,1,1,0.333333333,0.444444444,0,0,0,0,0,0,0,2,2,0,2,0,2,9.105,15.02,5.915,11.07666667,2.628888889,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,83,94.66666667,12,-2,4,6,4.242640687,-46.82878691,0.094102259,1.070576694,0.858846612,0.018021921,0.168213963,0.150192042,0.118149949,0.066752019,0.164715571,0.525000595,1,0,3.536500742,3.536500742,3.536500742,1.994740049,1.934538087,1.964639068,2.778745305,2.473671653,2.677054088,-44.71414237,25.52784313,43,56,8.928277399,12.20175707,10.49344238
SrOsO3,0,../data/Structures/Metals/SrOsO3_SD_0375560.cif,8,76,68,27.6,23.52,8,8,87,79,65.2,26.16,87,15.9994,190.23,174.2306,65.16964,59.004288,15.9994,54.8,3306,3251.2,904.08,1019.136,54.8,2,16,14,11.6,5.28,16,2,6,4,3.4,1.68,2,66,195,129,107.4,49.68,66,0.95,3.44,2.49,2.694,0.8952,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,6,6,1.2,1.92,0,0,14,14,2.8,4.48,0,2,22,20,8.4,5.44,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,4,4,0.8,1.28,0,0,0,0,0,0,0,0,4,4,2,0.8,2,9.105,54.23,45.125,19.127,14.0412,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,91,94.8,12,-2,4,6,3.380617019,-35.47214492,0.065569453,1.043615392,0.836076366,0.008253924,0.155163807,0.146909883,0.103660607,0.045636283,0.116887003,0.622055574,1,0,3.95,3.935088944,3.942544472,2.060154312,2.043927879,2.053738147,3.248982107,2.859020899,2.962373966,-42.74729323,23.48468107,41,55,10.34762522,10.50972404,12.232597
TiO,0,../data/Structures/Metals/TiO_CollCode_56612.cif,8,22,14,15,7,8,43,87,44,65,22,43,15.9994,47.867,31.8676,31.9332,15.9338,15.9994,54.8,1941,1886.2,997.9,943.1,54.8,4,16,12,10,6,4,2,4,2,3,1,2,66,160,94,113,47,66,1.54,3.44,1.9,2.49,0.95,1.54,2,2,0,2,0,2,0,4,4,2,2,0,0,2,2,1,1,0,0,0,0,0,0,0,4,6,2,5,1,4,0,0,0,0,0,0,0,2,2,1,1,0,0,8,8,4,4,0,0,0,0,0,0,0,2,8,6,5,3,2,9.105,16.69,7.585,12.8975,3.7925,9.105,0,0,0,0,0,0,0,2.25333E-05,2.25333E-05,1.12667E-05,1.12667E-05,0,12,194,182,103,91,12,-2,2,4,2.828427125,-23.94156679,1.11022E-16,1,1,0,2.46464E-16,2.46464E-16,1.10029E-16,1.10029E-16,1.43417E-16,,1,0,2.97288904,2.97288904,2.97288904,2.10215,2.10215,2.10215,2.97288904,2.97288904,2.97288904,-23.94149857,23.94149857,13.5755,27.49171,9.072554618,19.74671801,9.289473632
SrMoO3,0,../data/Structures/Metals/SrMoO3_CollCode_71994.cif,8,42,34,20.8,15.36,8,8,87,79,63.8,27.84,87,15.9994,95.96,79.9606,46.31564,36.379488,15.9994,54.8,2896,2841.2,822.08,920.736,54.8,2,16,14,11.2,5.76,16,2,5,3,3.2,1.44,2,66,195,129,109.4,52.08,66,0.95,3.44,2.49,2.686,0.9048,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,6,4,5.2,1.28,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,6,6,2.4,1.44,2,9.105,54.23,45.125,19.447,13.9132,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98,103.2,12,-2,4,6,3.380617019,-35.96092531,0.084157582,1.116671577,0.789606045,3.95978E-17,0.12240775,0.12240775,0.07344465,0.05875572,0.15,0.311521959,1,0,3.9651,3.9651,3.9651,1.98255,1.98255,1.98255,2.803749098,2.803749098,2.803749098,-44.94997643,23.44525939,40.33,54.417,10.45540181,13.09122342,12.46787472
SrRhO3,0,../data/Structures/Metals/SrRhO3_SD_1639007.cif,8,45,37,21.4,16.08,8,8,87,79,65.6,25.68,87,15.9994,102.9055,86.9061,47.70474,38.046408,15.9994,54.8,2237,2182.2,690.28,762.576,54.8,2,16,14,11.8,5.04,16,2,5,3,3.2,1.44,2,66,195,129,107,49.2,66,0.95,3.44,2.49,2.71,0.876,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,8,8,1.6,2.56,0,0,0,0,0,0,0,2,9,7,5.8,1.52,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,2,2,0.4,0.64,0,0,0,0,0,0,0,0,3,3,1.8,0.72,2,9.105,54.23,45.125,19.037,14.0772,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,97.2,102.24,12,-2,4,6,3.380617019,-35.99889678,0.076595864,1.080775283,0.808510341,0.016169505,0.130733992,0.114564487,0.094921649,0.042560721,0.13549367,20.50007064,1,0,3.92695,3.926575732,3.926762866,2.040058919,1.970389677,2.000311697,3.493881206,2.737258728,2.941562741,-44.28870587,23.73558072,42,63,17.33294638,11.11476749,12.10899538
BaNiS2,0,../data/Structures/Metals/BaNiS2_CollCode_246945.cif,16,56,40,29,13.5,16,9,88,79,61.5,26.5,88,32.065,137.327,105.262,65.0376,36.1447,32.065,388.36,1728,1339.64,876.18,487.82,388.36,2,16,14,11,5,16,3,6,3,4,1,3,105,215,110,137.25,38.875,105,0.89,2.58,1.69,1.99,0.59,2.58,2,2,0,2,0,2,0,4,4,2,2,4,0,8,8,2,3,0,0,0,0,0,0,0,2,10,8,6,2,6,0,0,0,0,0,0,0,2,2,1,1,2,0,2,2,0.5,0.75,0,0,0,0,0,0,0,0,2,2,1.5,0.75,2,10.32,63.59,53.27,31.3709375,16.10953125,25.786875,0,2.202,2.202,1.101,1.101,2.202,0,0.5953947,0.5953947,0.148848675,0.223273013,0,70,229,159,148.5,78.5,70,-2,2,4,2.529822128,-18.40139307,0.102066289,1.117233724,0.854741213,0.051618954,0.186064821,0.134445867,0.112952571,0.038326622,0.253872538,0.195701779,1,0,3.491120432,3.491120432,3.491120432,2.346952147,2.29964519,2.331183161,3.783737194,3.13764492,3.654518739,-21.0825982,20.13299268,18.168838,35.187,12.89351197,21.59576622,21.92908073
Bi2Ru2O7,0,../data/Structures/Metals/Bi2Ru2O7_CollCode_73787.cif,8,83,75,28.18181818,25.68595041,8,56,87,31,81.18181818,9.157024793,87,15.9994,208.9804,192.981,66.55423636,64.34251901,15.9994,54.8,2607,2552.2,607.8545455,726.9619835,54.8,8,16,8,14.36363636,2.314049587,16,2,6,4,3.272727273,1.619834711,2,66,148,82,95.45454545,37.48760331,66,2.02,3.44,1.42,2.956363636,0.61553719,3.44,1,2,1,1.818181818,0.297520661,2,0,4,4,3.090909091,1.157024793,4,0,10,10,3.090909091,3.933884298,0,0,14,14,2.545454545,4.165289256,0,6,29,23,10.54545455,6.710743802,6,0,1,1,0.181818182,0.297520661,0,0,3,3,1.818181818,0.661157025,2,0,3,3,0.545454545,0.892561983,0,0,0,0,0,0,0,2,4,2,2.545454545,0.694214876,2,9.105,32.95,23.845,14.24136364,6.803140496,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,45.09090909,54.14876033,12,-2,4,6,3.661454629,-39.92200524,0.075115018,1.076163413,0.793433699,3.81767E-17,0.202457931,0.202457931,0.096925989,0.04317771,0.149722831,0.277386243,1,0,3.639266471,3.639266471,3.639266471,1.938742147,1.938742147,1.938742147,3.691299926,2.717535579,3.077187149,-47.29887486,24.71539836,45,59,10.04325484,11.87614152,12.39349731
RhO2,0,../data/Structures/Metals/RhO2_CollCode_28498.cif,8,45,37,20.33333333,16.44444444,8,59,87,28,77.66666667,12.44444444,87,15.9994,102.9055,86.9061,44.9681,38.62493333,15.9994,54.8,2237,2182.2,782.2,969.8666667,54.8,9,16,7,13.66666667,3.111111111,16,2,5,3,3,1.333333333,2,66,142,76,91.33333333,33.77777778,66,2.28,3.44,1.16,3.053333333,0.515555556,3.44,1,2,1,1.666666667,0.444444444,2,0,4,4,2.666666667,1.777777778,4,0,8,8,2.666666667,3.555555556,0,0,0,0,0,0,0,6,9,3,7,1.333333333,6,0,1,1,0.333333333,0.444444444,0,0,2,2,1.333333333,0.888888889,2,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,2,3,1,2.333333333,0.444444444,2,9.105,13.64,4.535,10.61666667,2.015555556,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,83,94.66666667,12,-2,4,6,4.242640687,-47.23793101,0.094571752,1.070928814,0.858142372,0.031193429,0.176884315,0.145690886,0.128320686,0.064751505,0.164466104,32.48132765,1,0,3.528108397,3.528108397,3.528108397,2.017533473,1.928175369,1.972854421,2.790752868,2.309377938,2.630294558,-45.10340373,25.75232081,42,63,16.91859195,13.84601722,10.35951815
